Date,Time(ET),Symbol,Side,Action,Qty,Price,Notional,Reason,OrderID
2026-07-13,10:20,MARA,short,ENTRY,104,12.15,1263.60,ORB short stop12.64 trail0.25,
2026-07-13,10:30,DRAM,long,ENTRY,25,58.23,1455.70,ORB long stop56.31 trail0.97,
2026-07-13,10:35,MARA,short,EXIT,104,12.37,,trail-stop,
2026-07-13,11:50,DRAM,long,EXIT,25,57.51,,trail-stop,
2026-07-13,15:45,FRMI,short,EXIT,149,6.30,,trail-stop,
2026-07-14,10:00,SOFI,long,ENTRY,59,18.78,1108.02,ORB long stop18.17 trail0.24,
2026-07-14,10:05,ORCL,short,ENTRY,13,128.88,1675.44,ORB short stop132.66 trail2.53,
2026-07-14,10:05,INTC,short,ENTRY,18,105.34,1896.15,ORB short stop107.98 trail2.00,
2026-07-14,10:10,DRAM,short,ENTRY,30,59.74,1792.12,ORB short stop61.33 trail1.00,
2026-07-14,10:25,DRAM,short,EXIT,30,60.02,,trail-stop,
2026-07-14,10:25,NOK,short,ENTRY,171,11.69,1998.99,ORB short stop11.94 trail0.17,
2026-07-14,10:50,SOFI,long,EXIT,38,18.58,,trail-stop-partial,
2026-07-14,11:05,INTC,short,EXIT,18,105.57,,trail-stop,
2026-07-14,11:10,TSLL,long,ENTRY,158,12.63,1995.81,ORB long stop12.38 trail0.15,
2026-07-14,11:20,TSLL,long,EXIT,158,12.57,,trail-stop,
2026-07-14,15:50,NOK,short,EXIT,6,11.63,,eod-flatten,
2026-07-14,15:50,SOFI,long,EXIT,21,18.50,,eod-flatten,
2026-07-14,15:55,ORCL,short,EXIT,13,128.02,,trail-stop,
2026-07-15,09:50,PLTR,short,ENTRY,14,133.22,1865.08,ORB short stop136.78 trail1.38,
2026-07-15,09:50,BMNR,short,ENTRY,55,16.10,885.50,ORB short stop16.93 trail0.33,
2026-07-15,09:50,NU,short,ENTRY,145,13.76,1995.20,ORB short stop14.07 trail0.14,
2026-07-15,09:50,DRAM,short,ENTRY,29,58.99,1710.71,ORB short stop60.69 trail0.70,
2026-07-15,10:15,PLTR,short,EXIT,14,134.40,,trail-stop,
2026-07-15,10:25,CLSK,short,ENTRY,37,13.49,499.15,ORB short stop14.86 trail0.66,
2026-07-15,10:30,NU,short,EXIT,145,13.91,,trail-stop,
2026-07-15,10:40,WULF,short,ENTRY,13,18.92,245.99,ORB short stop19.92 trail0.51,
2026-07-15,10:50,DRAM,short,EXIT,29,57.14,,trail-stop,
2026-07-15,10:50,NOK,short,ENTRY,57,11.16,636.12,ORB short stop12.04 trail0.16,
2026-07-15,11:00,BMNR,short,EXIT,51,16.30,,trail-stop-partial,
2026-07-15,13:05,CLSK,short,EXIT,37,13.79,,trail-stop,
2026-07-15,13:30,NOK,short,EXIT,57,11.00,,trail-stop,
2026-07-15,15:50,BMNR,short,EXIT,4,15.68,,eod-flatten,
2026-07-15,15:50,WULF,short,EXIT,38,19.46,,eod-flatten,
2026-07-16,09:50,SOXS,long,ENTRY,20,51.45,1028.97,ORB long stop49.04 trail0.99,
2026-07-16,09:50,TE,short,ENTRY,188,6.16,1158.08,ORB short stop6.41 trail0.17,
2026-07-16,09:50,SKHY,short,ENTRY,8,162.01,1296.11,ORB short stop168.11 trail6.18,
2026-07-16,09:50,DRAM,short,ENTRY,29,53.20,1542.93,ORB short stop54.74 trail1.17,
2026-07-16,10:00,SOXS,long,EXIT,19,50.46,,trail-stop-partial,
2026-07-16,10:10,TE,short,EXIT,188,6.24,,trail-stop,
2026-07-16,10:10,DRAM,short,EXIT,28,54.20,,trail-stop-partial,
2026-07-16,15:50,DRAM,short,EXIT,1,52.14,,eod-flatten,
2026-07-16,15:50,SOXS,long,EXIT,1,53.12,,eod-flatten,
2026-07-16,15:55,SKHY,short,EXIT,8,155.94,,trail-stop,
2026-07-17,09:55,SKHY,long,ENTRY,6,153.09,918.52,ORB long stop145.60 trail3.86,
2026-07-17,10:00,DRAM,long,ENTRY,19,51.14,971.72,ORB long stop48.64 trail0.97,
2026-07-17,10:05,JOBY,long,ENTRY,178,7.17,1276.26,ORB long stop6.89 trail0.11,
2026-07-17,10:10,INTC,long,ENTRY,9,95.15,856.36,ORB long stop89.67 trail2.01,
2026-07-17,10:15,SKHY,long,EXIT,6,158.37,,trail-stop,
2026-07-17,10:15,NOK,long,ENTRY,166,10.13,1682.01,ORB long stop9.84 trail0.16,
2026-07-17,10:20,JOBY,long,EXIT,178,7.15,,trail-stop,
2026-07-17,10:35,DRAM,long,EXIT,18,52.12,,trail-stop-partial,
2026-07-17,10:35,INTC,long,EXIT,9,94.11,,trail-stop,
2026-07-17,10:50,NOK,long,EXIT,166,10.05,,trail-stop,
2026-07-17,15:50,DRAM,long,EXIT,1,53.34,,eod-flatten,
2026-07-20,10:00,NFLX,short,ENTRY,25,66.75,1668.69,ORB short stop68.34 trail1.18,
2026-07-20,10:10,SOXS,long,ENTRY,25,51.34,1283.56,ORB long stop49.37 trail1.60,
2026-07-20,10:15,DRAM,short,ENTRY,37,53.89,1994.02,ORB short stop55.19 trail0.87,
2026-07-20,10:30,SOXS,long,EXIT,25,51.32,,trail-stop,
2026-07-20,10:55,NFLX,short,EXIT,21,67.87,,trail-stop-partial,
2026-07-20,11:25,DRAM,short,EXIT,37,54.03,,trail-stop,
2026-07-20,15:55,NFLX,short,EXIT,4,67.85,,trail-stop,
2026-07-21,10:00,MARA,long,ENTRY,130,12.21,1587.22,ORB long stop11.81 trail0.19,
2026-07-21,10:00,TSLG,long,ENTRY,140,5.55,777.00,ORB long stop5.34 trail0.07,
2026-07-21,10:05,NU,long,ENTRY,141,14.15,1995.15,ORB long stop13.87 trail0.15,
2026-07-21,10:10,SOXS,long,ENTRY,16,48.85,781.60,ORB long stop45.87 trail1.36,
2026-07-21,10:20,SOXS,long,EXIT,16,47.72,,trail-stop,
2026-07-21,10:45,DRAM,long,ENTRY,34,57.60,1958.40,ORB long stop56.68 trail0.82,
2026-07-21,11:00,NU,long,EXIT,141,14.10,,trail-stop,
2026-07-21,11:10,SNXX,long,ENTRY,40,17.17,686.84,ORB long stop15.90 trail0.53,
2026-07-21,11:20,TSLG,long,EXIT,3,5.65,,trail-stop-partial,
2026-07-21,13:20,MARA,long,EXIT,129,12.57,,trail-stop-partial,
2026-07-21,14:30,SNXX,long,EXIT,40,17.24,,trail-stop,
2026-07-21,15:30,DRAM,long,EXIT,34,58.52,,trail-stop,
2026-07-21,15:50,MARA,long,EXIT,1,12.10,,eod-flatten,
2026-07-21,15:50,TSLG,long,EXIT,137,5.54,,eod-flatten,
2026-07-22,09:50,MARA,long,ENTRY,94,12.50,1175.00,ORB long stop11.94 trail0.21,
2026-07-22,09:55,DRAM,long,ENTRY,28,57.89,1620.92,ORB long stop56.09 trail1.08,
2026-07-22,09:55,INTC,long,ENTRY,12,105.78,1269.36,ORB long stop101.62 trail1.98,
2026-07-22,10:20,MARA,long,EXIT,94,12.51,,trail-stop,
2026-07-22,10:25,NU,short,ENTRY,102,14.02,1430.29,ORB short stop14.52 trail0.17,
2026-07-22,10:25,T,short,ENTRY,67,22.87,1532.42,ORB short stop23.63 trail0.43,
2026-07-22,11:25,NU,short,EXIT,102,14.07,,trail-stop,
2026-07-22,12:45,INTC,long,EXIT,12,104.86,,trail-stop,
2026-07-22,15:50,T,short,EXIT,18,23.00,,eod-flatten,
